size,old,branchy,branchless,prefetch,careful,lowerBound,upperBound,equalRange,improvedLowerBound,improvedUpperBound,improvedEqualRange,inlineAsm,inlinePrefetch,alexandrescuLowerBound,alexandrescuUpperBound
328,18.7777,16.7835,8.2522,9.0549,8.6632,17.2303,18.3190,22.8635,7.7001,7.6395,14.3241,6.2618,6.5956,9.5384,9.5916
336,18.8364,17.8064,8.2495,9.0541,8.6642,17.1275,16.5881,22.4599,7.6936,7.6395,14.3470,6.2442,6.5956,10.4236,10.4557
344,19.2722,18.2842,8.2578,9.0540,8.6687,17.6999,16.9412,23.5331,7.6973,7.6359,14.4076,6.2141,6.7516,9.9366,9.9742
352,19.4841,17.9311,8.2597,9.0532,8.6752,17.7549,17.1284,23.2001,7.7037,7.6405,14.3985,6.2342,6.6021,9.7090,9.8099
360,20.2188,18.3172,8.2551,9.0541,8.6632,17.5632,17.1009,23.9460,7.6964,7.6376,14.3598,6.2452,6.6048,10.4924,10.5465
368,19.5373,18.0245,8.2577,9.0678,8.6642,17.9513,17.1403,23.2598,7.6955,7.6395,14.3709,6.2443,6.5873,10.2438,10.3649
376,19.7326,18.8254,8.2615,9.0550,8.6541,18.0392,17.4678,23.9038,7.6936,7.6405,14.5507,6.2434,6.5791,9.6714,9.8053
384,20.5564,17.9172,8.2578,9.0568,8.6459,18.2310,17.8072,23.9873,7.6946,7.6405,14.3672,6.2479,6.7250,8.2385,8.2449
392,27.1786,30.5690,8.2587,9.2210,12.4454,18.3043,17.4512,25.1412,7.6946,7.6423,14.1443,6.2452,6.5864,8.6715,8.7330
400,20.0803,17.7686,8.2551,9.0568,8.6643,18.3970,17.6008,24.4973,7.6956,7.6414,14.2535,6.2452,6.5919,8.7835,8.8357
408,20.1382,17.7412,8.2569,9.0578,8.6596,19.7996,17.7182,24.8523,7.6973,7.6405,13.8663,6.2461,6.5992,8.4596,8.5055
416,20.1583,17.8934,8.2559,9.0485,8.6788,18.5190,17.7099,25.6495,7.6973,7.6414,14.1305,6.2434,6.5837,8.6632,8.6817
424,20.4161,18.4375,8.2606,9.0577,8.6660,18.6466,18.0301,26.2658,7.6964,7.6331,13.9966,6.2443,6.5892,7.8780,7.8799
432,22.4819,18.6108,8.2569,9.0549,8.6541,19.1721,18.4217,25.7898,7.6991,7.6450,13.9076,6.2442,6.5974,7.9138,7.9496
440,20.5500,18.4961,8.2568,9.0550,8.6440,19.1814,18.1026,25.7962,7.6956,8.3458,13.8177,6.2479,6.5928,7.7478,7.7598
448,20.4610,18.9878,8.2533,9.0541,8.6669,19.0851,18.3236,27.8904,7.6973,7.6405,13.7370,6.2452,6.5947,7.2745,7.2643
