size,old,branchy,branchless,prefetch,careful,lowerBound,upperBound,equalRange,improvedLowerBound,improvedUpperBound,improvedEqualRange
448,32.8736,22.7613,10.3549,13.3661,6.8400,25.3473,22.3160,26.4647,7.0140,6.9943,14.0791
456,28.3414,20.5925,6.3875,9.0140,7.1741,23.2879,21.7720,24.9887,7.0365,7.0982,13.9572
464,29.9908,21.3529,6.3654,8.1881,6.8494,20.9806,21.2524,24.6651,6.8780,6.9012,14.0948
472,30.5340,22.3053,6.8520,8.6688,7.2649,38.2159,26.2215,26.4242,7.9905,8.0032,14.5639
480,33.9566,22.3303,12.1662,13.7405,11.8272,24.1263,22.0791,24.6516,7.8400,7.8471,15.5369
488,29.7193,21.3994,6.9267,9.0914,7.3249,21.7778,20.3907,25.3952,8.0114,11.4772,15.9621
496,30.7285,23.0274,7.3941,8.6671,7.2882,23.9109,28.3502,28.8431,8.5937,7.9171,14.4843
504,31.8558,21.8659,7.5544,8.6970,7.6435,22.0510,23.0015,27.1730,7.9018,7.9154,14.5260
512,32.6541,24.9494,7.7229,9.4854,7.3555,22.3084,22.8546,33.3429,8.0812,8.0889,14.8031
520,35.8755,23.6046,8.5035,24.5283,19.7567,26.8924,36.4375,33.6425,11.0174,25.1856,33.4672
528,30.1145,23.1691,8.1485,11.1471,9.7665,22.2428,22.4201,26.2263,9.2889,9.3060,18.2085
536,32.5034,25.0310,8.4019,10.0397,8.4470,23.3399,22.1702,26.0445,8.4179,8.3981,17.9465
544,39.2421,25.8185,8.4759,10.1662,8.7320,24.6984,22.7780,33.9596,14.0302,14.4758,23.4301
552,31.6979,24.3123,8.3757,9.9470,8.4206,21.9379,22.4678,26.1354,8.4767,8.4937,17.6863
560,31.7245,23.4890,8.0121,10.0946,8.5389,22.1302,22.4575,29.2236,9.7244,8.7614,18.3291
568,32.2023,24.8678,8.3422,9.7930,8.4296,23.4347,25.3444,37.3344,16.5405,12.2806,24.5085
576,31.3423,23.8278,8.1024,10.6096,8.3856,22.7988,23.2305,26.3653,8.4781,8.4513,17.6392
584,32.7489,24.8721,8.2105,9.9841,8.4771,23.1014,22.6255,26.2995,8.5375,8.5418,17.6291
592,32.8894,23.0477,8.5377,12.6176,8.5423,21.8230,22.5464,29.9560,9.2441,8.8006,17.6345
600,34.8963,26.0921,9.1099,10.9713,9.1767,25.0982,23.9873,27.8642,8.4389,8.5448,17.6451
608,32.2362,24.2311,8.4226,11.5669,8.6350,22.6559,22.9091,26.6612,8.4753,8.5115,18.0736
616,33.5278,25.0211,8.5910,10.8581,21.4946,24.7261,25.1369,29.0620,8.4845,8.4778,17.6764
624,33.9691,25.1858,9.2949,10.7944,9.0881,22.8052,23.1725,27.7494,8.4330,8.5367,17.6787
632,33.2067,24.8885,8.3212,9.9594,8.4966,24.9117,22.9807,26.6604,8.5749,8.6186,17.7618
640,32.1950,24.0402,8.1430,10.1559,8.5945,24.1581,23.9962,27.3930,8.4978,8.5435,17.7122
648,33.5280,27.7432,9.0438,10.8901,9.8775,24.0424,23.7879,32.6399,9.4363,9.4297,19.6030
656,37.4816,23.7474,9.9422,9.8149,8.5175,23.8392,25.3469,28.1491,8.5408,8.5477,17.7334
664,35.3791,24.0775,10.9009,9.8432,8.4987,24.6800,23.8586,27.1382,8.6462,8.6486,17.7331
672,33.4357,25.2248,8.0456,10.5298,9.1838,26.1615,27.9767,34.3003,10.6621,10.5894,18.9376
680,34.0249,25.5451,8.4118,9.8632,8.4858,25.2273,24.9101,30.1223,8.6520,8.6683,18.5002
688,33.7857,26.5604,8.3763,9.8079,9.0648,24.6064,24.7811,30.9531,9.3511,9.3552,21.9188
696,34.1438,29.8350,8.4449,24.0821,11.5668,26.1259,24.6119,31.0145,9.2896,8.4912,17.6979
704,33.3019,24.1901,8.3383,10.7507,9.9576,24.9868,22.7271,27.8386,8.5748,8.6254,17.7119
712,32.6839,26.3391,8.3906,9.7772,8.5466,27.6913,24.7268,27.9635,8.4586,8.4495,18.2769
720,33.5412,26.3834,7.7949,9.7903,9.4547,23.2825,23.1553,30.0245,9.7571,9.5612,18.5128
728,37.8027,27.8036,17.2565,9.9321,8.7119,25.1727,26.1059,29.2778,8.4184,8.4454,17.6723
736,36.6805,25.1987,12.1922,9.7426,8.4257,26.5371,25.1603,26.7429,8.3939,8.3811,17.5952
744,35.3772,26.7862,8.4845,9.7993,8.4185,24.2438,26.1702,29.9749,8.4184,8.4275,19.2119
752,33.7413,23.6436,8.0624,10.7211,8.5177,23.8610,26.5804,29.9082,8.7743,8.5322,18.3176
760,35.0768,26.9912,8.5589,9.8072,8.4408,23.8789,25.2899,28.1382,8.4594,9.3173,19.7182
768,34.4640,26.6572,8.1971,9.7853,8.3846,24.1996,24.4713,28.4980,9.4375,9.4151,19.7461
776,42.4558,25.8021,8.6538,9.7917,8.5020,26.1874,26.1245,27.6452,8.5098,8.5210,17.6976
784,35.5500,27.2459,8.5841,9.8212,8.4406,24.7905,25.8241,31.0009,8.4306,8.4148,18.1433
792,35.2276,26.0628,8.1270,9.7981,8.4505,29.9537,24.6392,28.3759,8.3915,8.3953,17.6865
800,45.4324,33.1814,9.8010,13.4276,11.4621,36.9913,37.1579,49.4602,11.4301,11.4517,21.5272
808,46.4693,27.4355,8.5190,11.5847,9.8686,31.4604,29.8857,32.9174,8.4436,8.4547,17.6144
816,43.2997,25.9579,8.0861,9.7787,8.5220,26.0918,24.2024,27.7590,9.0988,9.0244,17.6708
824,36.9578,27.6323,8.5859,10.3663,8.4434,24.8515,25.7950,29.7514,8.4267,8.4425,17.6345
832,38.5609,26.8748,8.5413,9.8179,8.4843,25.9474,26.7900,29.1540,8.4947,8.4817,17.6455
840,37.1731,29.0534,8.5414,19.7349,9.8379,29.0490,26.4986,33.2332,10.6698,9.2815,19.5636
848,36.3657,26.1629,8.3795,10.0399,8.6756,28.4902,28.9134,33.5517,8.9653,8.7760,18.5443
856,38.4502,26.1172,8.0981,10.3507,8.8696,28.3115,27.8214,29.6393,8.8274,8.8148,19.3765
864,51.2461,26.9183,13.5518,11.4422,9.3042,26.7878,29.0418,30.9727,9.1002,9.1583,29.5486
872,39.2750,28.1846,9.0362,11.1333,9.7922,26.0489,27.3166,30.2882,8.9817,9.6203,19.5527
880,40.2270,27.4784,10.3643,9.8022,8.3485,26.9354,25.8561,29.1695,8.4346,8.4438,17.6848
888,37.7169,29.3453,8.2794,13.6410,11.3157,32.6911,26.9850,38.1825,11.5900,9.2819,22.6948
896,36.1637,27.1146,7.9830,10.9783,8.4331,25.3165,25.6124,30.5010,8.5888,8.5829,17.6440
904,36.4516,25.7397,8.1526,9.7660,8.3890,25.6435,25.0914,28.7928,8.3387,8.4178,17.6462
912,43.7060,24.6382,8.3949,9.7556,8.4674,27.9629,25.2154,27.9586,9.2873,8.7369,17.6179
920,45.5574,30.1572,20.0771,10.7740,8.8556,89.5317,42.9028,31.7616,9.3089,9.3296,19.5998
928,43.4913,29.4953,13.0260,15.8484,13.7983,30.7695,33.1789,45.0383,13.9483,16.5780,38.5718
936,40.2172,26.9942,8.1333,10.0224,8.6699,26.1322,27.1031,32.9407,9.8871,9.9136,19.9011
944,38.0419,26.0631,8.1479,11.1180,9.4902,26.1164,28.5832,29.8670,8.8610,8.8624,17.8869
952,37.9097,26.4026,8.2805,10.0094,8.6520,27.3146,30.4167,39.3107,8.9417,8.9439,17.9149
960,38.0950,27.3383,8.2873,9.9911,8.6389,26.6305,26.9453,31.7660,12.3946,15.9219,33.1593
968,37.7983,27.4460,8.2142,9.9308,8.6298,29.4000,26.1764,29.2710,8.8116,8.8216,17.7490
976,39.8399,28.8390,8.8631,9.9913,9.2147,31.2168,34.7110,38.8416,14.6380,14.3512,32.4470
984,71.7940,36.3358,19.3682,9.9846,8.5833,26.9855,27.6970,38.7696,8.8889,8.9096,17.8537
992,39.2576,27.2003,8.8404,9.9703,9.2925,27.7545,27.6652,28.6559,8.9249,8.9218,21.9164
1000,39.0827,31.6366,12.8916,19.2979,8.5495,27.1666,26.2442,33.0367,11.7369,9.4805,19.3838
1008,39.8280,27.6759,8.7749,9.9084,8.5786,27.1130,27.6267,37.0960,8.7890,8.8010,17.7976
1016,38.0367,25.6938,8.5437,9.9810,8.6525,26.0317,26.3342,31.2149,8.9097,8.9629,17.8552
1024,45.2952,30.8926,12.4657,16.9996,14.9133,57.2937,31.7654,31.1459,9.1730,9.1736,30.3062
1032,36.7772,28.2485,10.1335,12.5094,10.1630,25.8145,25.6216,29.2723,10.3153,10.3231,21.6057
1040,43.6373,33.0083,9.8330,14.4347,11.0146,26.7638,27.4110,30.8939,10.4536,10.9531,22.6492
1048,39.3022,29.2041,10.4138,13.1866,10.2327,27.1797,27.6461,32.8590,11.6912,11.7301,22.5957
1056,36.6891,27.1396,10.0450,12.0804,10.1626,26.6110,27.2681,36.9067,10.4441,15.9926,23.0898
1064,39.1461,29.4871,10.0333,11.4398,10.0076,26.5457,27.0176,30.4683,9.9624,10.0364,20.7722
1072,47.1945,32.6423,15.8878,19.5400,17.1239,34.8005,34.7915,41.8636,18.1061,20.4226,40.0330
1080,39.8013,29.3472,15.6995,13.3793,10.0040,26.4459,27.0028,30.2472,10.0045,10.0377,21.8755
1088,40.1057,30.3093,10.6423,11.4111,10.0205,27.0541,29.6620,34.4908,9.9236,10.0447,20.7626
1096,49.7990,28.7955,9.9929,13.8477,11.1090,28.7308,27.2887,30.6967,10.0201,10.0426,22.3634
1104,40.5863,29.9580,10.4897,11.5348,10.0387,27.0905,27.6578,31.3947,10.0027,10.0919,20.7864
1112,38.0459,29.1013,10.0571,11.6711,10.0153,28.4990,26.4796,30.4232,10.0250,10.0192,20.7990
