size,old,branchy,branchless,prefetch,careful,lowerBound,upperBound,equalRange,improvedLowerBound,improvedUpperBound,improvedEqualRange
397512,1.0000,0.8471,0.3176,0.3647,0.3294,0.8941,0.9294,1.6824,0.3412,0.3412,0.6824
399512,1.0000,0.7553,0.2872,0.3298,0.2979,0.8085,1.5532,1.5638,0.3085,0.3085,0.6170
401520,1.0000,0.8256,0.3140,0.3605,0.3256,0.8837,0.8953,1.6512,0.3372,0.3372,0.6744
403540,1.0000,0.8295,0.3068,0.3523,0.3182,0.8750,0.9091,1.6591,0.3295,0.6136,0.6591
405568,1.0000,0.8295,0.3068,0.3523,0.3182,0.8977,0.8977,1.6477,0.3295,0.3295,0.6591
407608,1.0000,0.8353,0.3176,0.3647,0.3412,0.9176,0.9176,1.6471,0.3412,0.3412,0.6824
409660,1.0000,0.8182,0.3068,0.3523,0.3182,0.8750,0.8864,1.5909,0.3295,0.3295,0.6591
411720,1.0000,0.8333,0.3095,0.3571,0.3214,1.0714,0.9286,2.0238,0.3452,0.3333,0.6786
413792,1.0000,0.8642,0.3333,0.3704,0.3333,0.9630,0.9136,1.6667,0.3457,0.3457,0.6914
415872,1.0000,0.8235,0.3176,0.3529,0.3176,0.8824,0.8824,1.6235,0.3412,0.3294,1.0000
417964,1.0000,0.9070,0.3023,0.3488,0.3140,1.2209,0.8605,1.6047,0.3256,0.3256,0.6628
420068,1.0000,0.8333,0.3214,0.3571,0.3214,0.8929,0.8929,1.6429,0.3333,0.3333,0.6786
422180,1.0000,0.8046,0.2989,0.3448,0.3103,0.8506,0.8506,1.5862,0.3218,0.3218,0.6552
424304,1.0000,0.8434,0.3133,0.3494,0.3253,0.9036,0.8916,1.6627,0.3373,0.3373,0.6627
426440,1.0000,0.8235,0.3059,0.3529,0.3176,0.8824,0.8824,1.8471,0.3294,0.3294,0.6706
428584,1.0000,0.7955,0.2955,0.3409,0.3068,0.8523,0.8977,1.8409,0.3182,0.3182,0.6364
430740,1.0000,0.8235,0.3176,0.3529,0.3176,0.8941,0.8706,1.6353,0.3294,0.3294,0.6706
432908,1.0000,0.8434,0.3133,0.3614,0.3253,0.8795,0.8916,1.6747,0.3373,0.3373,0.6867
435084,1.0000,0.8434,0.3253,0.3614,0.3253,0.9036,0.9157,1.6506,0.3373,0.3373,0.6867
437272,1.0000,0.8161,0.2989,0.4368,0.3103,0.8851,0.8736,1.5862,0.3218,0.3218,0.6552
439472,1.0000,0.8333,0.3095,0.3571,0.3333,0.9048,0.8929,1.6786,0.3333,0.3333,0.6786
441684,1.0000,0.8642,0.3333,0.3704,0.3333,0.9383,0.9136,1.9506,0.3457,0.3457,0.7037
443904,1.0000,0.7692,0.2857,0.3297,0.2967,0.8132,0.8132,1.5604,0.3077,0.3077,0.6264
446136,1.0000,0.8235,0.3059,0.3412,0.4588,0.9529,0.9176,1.6118,0.3294,0.3294,0.6471
448380,1.0000,0.5610,0.2114,0.2439,0.2195,0.5935,0.6016,1.1138,0.2276,0.2276,0.4472
450636,1.0000,0.8256,0.3023,0.3488,0.3140,0.8721,0.8837,1.6395,0.3256,0.3256,0.6512
452904,1.0000,1.0370,0.3210,1.2593,0.3333,0.9877,1.3951,2.0617,0.3580,0.3580,0.7037
455180,1.0000,0.8537,0.3171,0.3537,0.3171,0.8902,0.8902,1.6463,0.3293,0.3293,0.6585
457468,1.0000,0.7907,0.3023,0.3488,0.3140,0.8605,0.8605,1.5814,0.3256,0.3256,0.6395
459768,1.0000,0.7340,0.2766,0.3085,0.2872,0.7979,0.7872,1.4362,0.2979,0.2979,0.5957
462080,1.0000,0.3557,0.1340,0.1546,0.2629,0.4072,0.4021,0.7010,0.1443,0.1443,0.2887
464404,1.0000,0.8313,0.3133,0.3494,0.3253,0.8554,0.8795,1.6265,0.3373,0.3373,0.6747
466740,1.0000,0.8434,0.3133,0.3614,0.3253,0.8554,0.8916,2.2651,0.7349,0.3373,0.7229
469088,1.0000,0.8353,0.3059,0.3176,0.2941,0.9176,0.9529,1.6235,0.3059,0.2941,0.6000
471448,1.0000,0.9310,0.2989,0.3103,0.2874,0.8736,0.8506,1.5977,0.2874,0.2874,0.5862
