size,old,branchy,branchless,prefetch,careful,lowerBound,upperBound,equalRange,improvedLowerBound,improvedUpperBound,improvedEqualRange,inlineAsm,inlinePrefetch,alexandrescuLowerBound,alexandrescuUpperBound
328,22.0005,18.9488,6.3308,7.7195,7.0007,18.0235,20.4182,25.1737,6.9518,7.9829,13.7714,5.8932,6.7193,10.6624,12.6838
336,24.0836,18.5282,6.3476,7.7393,7.0096,17.6671,19.8938,29.1593,7.5294,8.0017,13.9545,5.9027,6.7406,11.7900,14.2435
344,25.1224,19.1210,6.3425,7.7272,7.0065,18.0979,20.7102,31.5602,6.9608,8.0056,13.9622,5.8974,6.7400,11.0446,13.2224
352,24.5689,20.0591,6.3412,7.7837,7.0029,19.3392,21.0393,21.9837,6.9610,8.0035,13.9909,5.8869,6.7376,10.8913,12.9674
360,26.1674,22.7050,6.3420,7.7708,6.9824,18.5962,19.1397,25.5068,6.9681,8.0035,13.8609,5.9033,6.7259,11.8342,14.1159
368,26.9376,24.2041,6.3447,7.7704,7.0050,21.4523,18.9662,25.7992,7.7402,8.0068,13.9273,5.8895,6.7225,11.5790,13.7239
376,27.3020,24.6794,6.3418,7.7082,7.0072,18.0973,19.0252,27.1550,6.9651,7.9990,14.0632,5.8896,6.7342,10.8355,13.3190
384,28.5485,19.6431,6.3399,7.7839,6.9821,19.3857,21.0965,34.0613,6.9656,8.0024,13.9561,5.8930,6.7248,9.0469,11.2150
392,23.4989,20.6654,6.3302,7.7058,7.0029,19.0857,19.8646,28.5005,6.9451,7.9879,13.4872,5.8795,6.7175,9.5563,11.9858
400,25.9528,19.2821,6.3416,7.7752,6.9831,19.0363,21.5026,32.8820,6.9622,8.0003,13.7102,5.9022,6.8162,9.5925,11.2586
408,24.5032,18.8083,6.2311,7.6187,6.8589,18.6703,18.3069,22.8937,6.8368,7.8556,12.8758,5.7865,6.6078,9.0873,11.1981
416,22.8983,19.0940,6.2284,7.6437,6.8774,19.5612,21.2793,29.2874,8.1551,8.1467,13.4117,6.2077,6.8018,9.1114,11.1434
424,25.4644,19.3246,6.2326,7.5713,6.8808,19.2795,19.1529,23.0716,6.8334,7.8611,13.1763,5.8246,6.6194,8.2159,9.9695
432,28.0962,19.1424,6.2329,7.5912,6.8836,19.7750,22.1352,29.7296,6.8283,7.8562,13.0926,5.8001,6.6014,8.3337,10.1455
440,26.2462,19.4088,8.1944,7.6135,6.9590,19.5757,21.9008,34.8550,6.8318,7.8599,12.9323,5.7930,6.6239,8.4698,10.1125
448,25.6828,19.4693,6.2334,7.5873,6.8774,19.6037,23.0432,34.0168,6.8390,7.8539,12.8156,5.7906,6.5997,7.2590,9.1066
456,27.2455,20.7242,6.2348,7.5755,6.8826,21.3603,20.2684,24.1279,6.8343,7.8413,14.2614,6.2125,9.1247,17.1071,8.8422
464,28.2393,21.0960,7.0881,7.8572,7.3711,20.1330,22.6648,37.0091,8.5630,8.1128,12.9630,6.2060,6.7908,6.1438,8.0702
472,27.5277,19.7659,6.2357,7.6066,6.8619,19.8755,23.1486,36.2482,6.8416,7.8561,12.8594,5.7922,6.6268,6.0424,7.8936
480,28.3309,19.4990,6.2307,7.6318,6.8809,20.0250,19.6256,26.0418,6.8313,7.8160,12.8916,5.7817,6.6051,5.8252,7.6922
488,27.5471,20.0510,6.2349,7.6191,6.8803,19.7157,22.6238,35.5816,6.8328,7.8971,12.6849,5.8005,6.6128,5.8864,7.7614
496,27.7142,20.2381,6.2284,7.6294,6.8803,20.5497,22.9685,25.2495,6.8285,7.8554,12.5414,5.8250,6.6044,5.6505,7.5645
504,30.2264,23.8585,6.2322,7.5870,6.8616,22.1078,21.1467,31.3547,6.8303,7.8545,12.6670,5.8225,6.6068,5.6235,7.4787
512,29.4777,25.3234,6.2303,7.5349,6.8873,19.2381,21.2303,30.2505,6.8312,7.8639,13.4117,5.7894,6.6055,6.6964,8.3251
520,28.6344,22.2880,7.3565,9.2031,8.9077,22.3858,43.1393,27.5350,8.6206,9.4229,14.7492,7.1696,7.8624,7.0424,8.4678
528,28.7136,20.8871,7.3559,9.2259,8.9066,20.8759,23.3889,30.8930,8.6295,9.4258,15.6949,7.1811,7.7773,7.1561,8.7344
536,28.3532,22.5117,7.3593,9.1927,8.9152,22.5439,21.9277,25.4557,8.6250,9.4504,15.7279,7.2055,7.7712,7.4439,9.0245
544,28.4283,20.8467,7.3559,9.1796,8.9198,20.5688,23.0746,29.0988,8.6297,9.4449,16.5423,7.1743,8.5374,7.4607,9.0733
552,28.7355,20.6350,7.3575,9.2226,8.8824,20.7494,23.5265,27.0914,8.6343,9.4717,19.7934,7.1707,7.7788,7.8842,9.3870
560,29.3308,20.7355,7.3624,9.2172,8.8510,21.0414,23.1957,34.4156,8.6244,9.4335,17.4018,7.1819,7.7762,8.9073,10.6950
568,30.2586,22.2626,7.3594,9.1754,8.8508,22.6003,24.0834,25.1700,8.6234,9.4283,18.0908,7.1704,7.7227,7.8060,9.5516
576,28.4434,21.3788,7.3570,9.2133,8.8982,21.3709,24.0755,30.3273,8.6261,9.4628,18.1131,7.1809,7.7801,8.6313,10.3683
584,29.6934,31.8243,7.3592,9.2015,8.9267,23.9290,21.5551,25.5890,8.6299,9.4561,18.2941,7.1827,7.8063,10.5021,11.8185
592,28.5137,21.6957,7.3427,9.2034,8.8614,21.4862,24.0896,31.8936,8.6196,9.4369,18.3826,7.1734,7.7665,10.8304,12.8020
600,27.8619,23.7073,7.3584,9.2145,8.9143,22.8262,22.3670,26.6583,8.6219,9.4633,18.5512,7.1683,7.7737,10.2527,12.2324
608,26.9144,21.7601,7.3598,9.2252,8.8949,21.3621,24.6707,40.2608,8.8146,9.4702,18.7959,7.1865,7.7826,12.0338,14.1537
616,27.0422,22.0479,7.3633,12.7227,8.8967,22.0047,24.1523,39.0753,8.7856,10.2313,19.0046,7.1861,7.7778,12.7891,15.1194
624,34.1794,22.3865,7.3576,9.2088,8.9019,21.3571,24.7468,28.3849,8.6239,9.4307,18.9962,7.1824,7.7780,12.9811,15.3489
632,30.4135,24.8669,7.3593,9.2042,8.8224,23.5234,25.4089,26.1955,8.6260,9.4488,19.6406,7.1827,7.7816,13.1310,15.5946
640,28.6073,22.6383,7.6848,9.2535,8.9068,21.7031,26.9000,41.3426,8.6176,9.4141,19.0410,7.1775,7.7791,13.4235,15.8302
648,33.2724,24.7194,7.3620,9.1874,8.8920,23.7389,22.0015,31.5739,8.6359,9.4416,19.4196,7.2055,7.7272,13.8311,15.7977
656,29.6045,22.0333,7.3567,13.0637,8.8008,22.5488,24.4465,41.3590,8.7213,9.3602,19.4668,7.2057,7.7189,13.2147,15.6354
664,27.0950,22.2576,7.3565,9.2206,8.8580,22.2863,24.5388,41.9984,8.7057,9.4570,23.6724,7.1808,8.1859,13.1472,15.7819
672,32.1929,21.7544,7.3416,9.1928,8.8412,21.3241,24.1302,35.0720,8.6968,9.4487,20.9783,7.1780,7.7078,13.2231,15.8043
680,32.9025,25.0869,7.3496,9.2036,8.9129,23.7990,21.7907,27.4376,8.7991,9.4216,21.2251,7.1747,7.7647,14.1143,15.9779
688,30.0654,22.5651,7.3682,9.2113,8.8529,22.7066,24.6905,33.6714,8.6253,9.4744,20.9843,7.2015,7.7783,12.9100,15.5106
696,30.9676,25.4783,7.3408,9.1634,8.9059,29.0275,26.0469,26.3698,8.7026,9.4633,20.8664,7.2032,7.7241,12.5489,15.0663
704,31.6619,25.3508,7.3626,9.2671,8.8659,21.0098,23.5957,36.6852,8.7686,9.4903,19.9890,7.1845,7.7231,12.9178,15.4817
712,30.2778,22.8120,7.3505,9.1961,8.9076,22.5292,24.7556,33.3007,8.6232,9.4433,20.2669,7.1764,7.7157,12.6613,15.1949
720,31.7799,25.6907,7.3635,9.2016,8.8979,24.2052,22.7111,30.0191,8.6439,9.4732,20.3951,7.2057,7.7815,12.9612,15.3797
728,30.7034,27.4144,7.3746,9.2149,8.9057,24.2632,21.6757,34.7471,8.7070,9.4711,20.6221,7.2027,7.7767,10.7523,12.9133
736,27.8042,22.9222,7.3576,9.2031,8.8939,23.1169,24.9903,35.7574,8.8007,9.4386,21.0137,7.1846,7.7788,12.0809,14.5865
744,29.2121,22.8960,7.3423,9.1864,8.7756,22.8466,24.4725,42.8729,8.7971,9.4472,20.7181,7.1792,7.7731,11.1354,14.2285
752,30.2799,23.3925,7.3781,9.2052,8.8910,22.2291,24.9277,43.3925,8.8113,9.4489,20.4186,7.1664,7.7792,11.6394,14.9047
760,29.3145,23.0702,7.3595,9.2033,8.9040,22.5479,25.0201,36.6233,8.7023,9.4498,20.9088,7.1736,7.7256,10.6067,13.0032
768,32.6488,25.9576,7.3411,9.1849,8.8965,24.3904,25.8050,27.9024,8.6886,9.4494,20.8279,7.1626,7.7673,10.6888,13.1445
776,32.2865,28.5026,7.3588,9.2178,8.9075,21.7737,22.5183,37.8043,8.6780,9.5019,20.9966,7.1734,7.7268,10.8844,13.2475
784,35.7928,22.9693,7.3636,9.2149,8.8753,22.6788,25.5660,38.0643,9.2038,9.4634,20.9221,7.1728,7.7232,11.2264,13.6830
792,31.1940,23.2731,7.3394,9.1700,8.8865,22.0399,25.1304,36.1519,8.7072,9.4423,20.7705,7.1626,7.7646,11.5032,14.0263
800,29.1725,25.8733,7.3692,9.2137,8.9118,24.3863,27.1538,28.0931,8.7016,9.4871,20.7385,7.6329,7.7812,11.1727,13.7489
808,29.4857,25.1778,7.3740,9.2287,8.8894,21.5719,24.4406,39.4395,8.6986,9.4272,20.9479,7.1722,7.7781,10.6865,12.9536
816,30.6470,22.9643,7.3529,9.1973,8.9070,21.8102,24.6422,28.7682,8.7004,9.4703,21.2552,7.1721,7.7833,9.5897,11.8719
824,30.5018,26.2683,7.3510,9.2186,8.8482,22.9682,23.3935,37.7541,8.7082,9.3998,21.1360,7.1722,7.7807,9.7978,11.8392
832,33.2000,23.7386,7.3637,9.2237,8.9109,23.3881,27.2348,40.1555,8.7090,9.4225,21.2264,7.1689,7.7792,9.0660,11.3728
840,36.9848,25.8661,7.3667,9.2284,8.8905,25.4260,27.1900,28.6134,8.7802,9.4745,21.5864,7.1699,7.7225,8.8664,11.1547
848,37.4398,25.3287,7.3423,9.0722,8.7236,25.5495,23.6959,29.3007,8.6153,9.3394,20.9909,7.1612,7.7101,9.0260,11.2104
856,31.5680,23.6860,7.3573,9.0921,8.7137,24.1876,26.1550,34.7477,8.6259,9.3477,21.0555,7.1726,7.7744,8.5138,10.7443
864,32.0824,23.9648,7.3649,9.1248,8.7368,23.8872,26.8024,37.4868,8.6220,9.3736,20.9924,7.1694,7.7792,8.8479,11.1044
872,31.5348,24.2131,7.3591,9.1051,8.6914,23.9242,27.3153,38.1070,8.6302,9.3716,21.1519,7.1706,7.7748,8.5304,10.7674
880,31.6660,23.6768,7.3622,9.1354,8.7839,23.2468,27.0265,44.8159,8.6307,9.3835,20.2849,7.1708,7.7776,8.3083,10.4195
888,29.5815,23.8518,7.3573,9.1271,8.7546,24.6133,27.1655,45.1527,8.6287,9.2988,20.1993,7.1624,7.7676,8.4081,10.7477
896,31.8310,23.5546,7.3576,9.1467,8.7985,23.7877,25.1943,30.8050,8.6373,9.3253,20.4090,7.1699,7.7734,9.1106,11.1898
904,33.9452,28.2215,7.3540,9.1606,8.7538,26.6722,23.8162,31.4170,8.6255,9.3537,20.1914,7.1695,7.7170,8.8929,11.1785
912,33.1940,25.7966,7.3656,9.1572,8.7783,25.7556,24.5408,32.5098,8.6383,9.3543,20.5953,7.1707,8.4466,10.1045,10.9897
920,33.1219,23.6378,7.3619,9.1485,8.7491,23.9122,28.0902,45.0187,8.6442,9.3731,19.8668,7.1727,7.7767,8.2853,44.1092
928,32.3996,24.1704,7.3590,9.1018,8.7288,23.7551,27.7797,47.5190,8.6289,9.3443,19.7534,7.2110,7.7855,8.9307,11.0616
936,30.7917,24.2963,7.3599,11.7006,8.7253,24.2396,27.4217,31.6064,8.6276,9.3460,19.8734,7.1764,7.7633,8.4837,10.6284
944,31.4323,24.3067,7.3611,9.0866,8.6927,24.1007,28.4425,38.5843,8.6274,9.3700,19.7784,7.2060,7.7761,8.4121,10.5965
952,37.3818,24.0754,7.3385,9.0982,9.5171,23.7184,28.1090,47.3517,8.6344,9.3450,19.6878,7.1740,7.7700,8.2372,10.4223
960,35.8306,24.2763,7.3547,9.1118,8.7244,24.6745,29.1239,35.8812,8.6274,9.3834,19.7298,7.2062,7.7245,7.9027,10.1100
968,35.1321,24.9721,7.3610,9.0981,8.7043,24.3324,28.1498,46.0861,8.6275,9.3328,19.7402,7.2062,7.7137,7.4682,9.5347
976,39.4079,24.1339,7.5605,9.4039,9.0052,23.5702,27.0113,74.1637,8.6473,9.3485,19.2877,7.2049,7.7280,7.4948,9.5864
984,34.6563,24.9885,7.3649,9.1156,8.7251,24.6198,27.2708,32.8630,8.6448,9.3431,21.6808,7.2048,7.7772,7.1641,9.2104
992,34.2720,24.9006,7.3569,9.1131,8.7309,24.2277,27.9963,48.9445,8.6303,9.3405,19.2987,7.1798,7.7750,7.2013,9.2708
1000,37.1546,24.8940,7.3568,9.1351,8.7067,24.1886,27.8195,33.1794,8.6253,9.3366,19.2257,7.2006,7.7797,7.0392,9.1594
1008,32.8652,25.0575,7.3576,9.0985,8.7335,24.4792,28.8481,48.6628,8.6283,9.3443,19.3197,7.1679,7.7776,6.8948,9.8056
1016,38.2434,26.2047,7.3577,9.1260,8.7627,26.1774,26.9097,32.8722,8.6322,9.3969,19.0345,7.1841,7.7227,6.8389,8.9172
1024,38.5981,24.5173,7.3595,9.1724,8.7343,24.5420,28.0482,46.5084,8.6428,9.4348,18.7942,7.1841,7.7253,7.4818,9.5118
1032,35.2019,27.3235,9.0638,10.5314,10.2603,43.2474,29.0280,36.4089,10.1284,10.9688,21.6598,8.1887,9.1843,7.8551,9.8989
1040,33.6920,24.7032,9.0663,10.5470,10.2434,25.0325,28.1820,47.9696,10.1564,10.9634,24.0181,8.1726,9.1725,8.1046,10.1448
1048,33.5311,24.1824,8.9767,10.5259,10.2499,24.4519,27.6172,47.4312,10.1129,10.9686,20.9121,8.1760,9.1700,8.3879,10.4230
1056,33.8595,24.4362,9.0204,10.5177,10.2495,24.7996,28.0447,45.4030,10.1213,10.9698,20.9166,8.1711,9.1720,8.1492,10.1869
1064,32.2992,27.2684,9.0525,10.5505,10.2567,26.3153,27.2534,32.8425,10.1467,10.9780,20.7498,8.6021,9.1688,8.4519,10.3022
1072,33.5583,30.8206,8.9260,10.5221,10.2529,23.4388,25.8121,43.2358,10.1189,10.9452,21.1943,8.2070,9.1007,8.9523,10.9423
1080,32.1606,25.7969,8.8564,10.5223,10.2349,24.9918,28.2235,39.6434,10.0927,10.9376,20.5734,8.1453,9.0309,9.3992,11.9147
1088,32.5275,25.3160,8.8671,10.5083,10.2196,24.4097,28.5698,42.9304,10.0773,35.4119,26.1438,8.3752,9.8833,8.9889,11.2448
1096,35.5823,28.0973,9.0341,10.5443,10.2550,27.0435,30.7292,34.1733,10.1084,10.9738,20.8824,8.1686,9.1742,9.1038,11.3787
1104,38.8831,25.4310,8.9752,10.5281,10.2385,24.7306,29.2484,46.9976,10.1046,10.9845,20.9630,8.1737,9.1831,9.0791,11.3181
1112,35.9568,27.5487,9.0060,10.5344,10.2539,26.7504,25.5293,34.1995,10.1459,10.9789,20.4125,8.1715,9.1821,9.8400,11.9739
1120,35.6512,25.0979,8.9844,10.5142,10.2285,25.0441,28.0072,39.3984,10.0757,10.9811,20.7527,8.1779,9.1713,9.8341,12.2938
1128,34.7136,28.4547,8.9509,10.5319,10.2198,25.5760,26.6351,43.6461,10.0470,10.9506,20.2327,8.1597,9.1541,9.9343,11.9924
1136,31.2461,26.2185,8.9231,10.5276,10.7460,25.2706,27.9061,48.6996,10.0828,10.9760,20.4718,8.1716,9.1704,9.7299,12.1932
1144,31.6815,25.2837,8.9254,10.5273,10.2225,25.3855,28.7649,38.5563,10.0619,10.9501,20.2776,8.1625,9.1339,10.7112,13.1920
1152,32.7837,29.1058,8.9865,10.5306,10.2477,27.2289,26.9069,34.6406,10.1041,10.9763,23.2166,8.1763,9.1709,10.2793,12.5521
1160,34.8153,26.3094,8.9974,10.5382,10.2286,25.3121,29.0336,50.0920,10.0989,10.9698,20.0723,8.1705,9.1906,10.8190,14.3915
1168,33.8660,26.0707,8.9727,10.9985,10.2244,25.3247,28.5188,40.8250,10.0629,10.9370,20.3094,8.1609,9.1367,10.9169,13.6804
1176,35.3361,28.7660,9.0238,10.5442,10.2263,27.4769,25.5059,35.1803,10.0674,10.9840,20.5814,8.2214,9.1892,10.8821,13.4233
1184,34.8685,26.8563,9.0664,10.5044,10.7030,25.6003,28.5233,50.8685,10.0598,10.9752,20.3566,8.1716,9.1687,11.4138,14.2233
1192,40.0669,26.2974,8.9891,10.5150,10.1985,25.7054,28.2533,51.2584,10.0736,10.9702,20.2748,8.2228,9.1654,12.5247,15.3573
1200,35.7922,26.2601,9.0209,10.5256,10.2568,25.5767,28.6757,38.3783,10.1432,10.9739,20.1647,8.1682,9.1697,12.0313,15.0590
1208,35.9382,28.7262,9.1818,10.5314,10.2581,32.2054,27.6906,45.6389,10.3234,11.1956,20.7179,8.3254,9.3380,12.7798,15.8931
1216,35.7632,30.2780,10.0118,11.6536,10.7664,27.4041,26.4729,38.3402,10.7074,12.5214,21.0450,8.5421,10.1195,12.4673,15.5292
1224,34.9324,27.8160,9.0750,10.7213,10.4232,26.5266,28.9070,36.5182,10.3137,11.1417,20.6633,8.3126,9.3082,13.3925,16.3292
1232,37.2679,27.2661,9.2095,10.7257,10.4459,26.5391,29.4742,42.7194,10.2913,11.1943,20.8878,8.3226,9.3375,13.5659,16.5190
1240,40.6276,29.7653,9.2004,10.7405,10.4448,28.5537,28.6422,37.0948,10.2789,11.1923,20.4025,8.3330,9.3374,14.3425,17.6442
1248,37.6183,27.3198,9.1904,10.7410,10.4484,26.5458,29.3694,43.6924,10.2968,11.1971,20.7896,8.3236,10.2915,14.8998,17.8719
1256,41.5725,30.0674,9.2019,10.7412,10.4520,28.6411,26.9447,37.9982,10.2917,11.1921,20.7385,8.3240,9.3488,15.1750,17.8085
1264,39.7262,27.6422,9.1372,10.7113,10.4281,26.7379,29.9108,45.3458,10.2905,11.1393,20.6263,8.3127,9.2917,14.5322,17.7666
1272,38.6851,30.4333,9.0502,10.7047,10.4073,28.3052,26.0295,37.2131,10.2540,11.1356,21.1997,8.3108,9.2745,14.6288,17.7574
1280,38.6808,27.5615,9.1384,10.7158,10.4338,26.5913,29.9392,38.7662,10.2977,11.1958,20.5199,8.3295,9.3417,15.3954,18.1069
1288,35.9800,29.6487,9.2023,10.7318,10.4503,27.1106,28.0068,45.9662,10.2892,11.6801,20.4086,8.3337,9.3640,14.4879,17.5854
1296,42.1804,28.5796,9.2340,10.7277,10.4375,25.3552,29.6448,50.5682,10.3512,11.1899,20.4548,8.3232,9.3376,15.1656,18.3224
1304,40.7174,27.6620,9.1692,10.7244,10.4467,26.7324,30.3835,45.3330,10.2762,11.1913,20.3557,8.3243,9.3398,14.8665,17.8717
1312,53.3247,29.5762,9.0420,10.7123,10.4294,26.7250,27.3191,47.8052,10.3049,11.1993,20.2639,8.3286,9.3706,15.5930,18.7018
1320,38.4302,28.0831,9.2343,10.7487,10.4337,26.9365,29.3066,38.5598,10.3104,11.1963,20.1570,8.3251,9.3412,15.0619,18.5924
1328,36.9828,28.3860,9.1534,10.7271,10.4324,26.9547,30.6072,50.7905,10.3022,11.1482,20.3259,8.3101,9.2759,15.0065,18.5374
1336,37.7679,29.4990,9.2362,10.7230,10.4359,28.8380,26.7253,38.2930,10.3251,11.2008,19.8275,8.3256,9.3434,15.3710,18.5902
1344,41.6205,27.7002,9.1838,10.7429,10.4574,26.6997,29.4604,43.5171,10.3348,11.2007,19.9366,8.3265,9.3903,15.2058,18.6067
1352,40.5162,30.8608,9.1162,10.7102,11.0348,29.1498,27.0719,37.8856,10.3573,11.2036,20.1888,8.3231,9.3450,15.4209,18.6948
1360,43.2655,32.6940,9.1722,10.7157,10.4425,29.7975,25.7627,43.0028,10.3536,11.1943,20.0492,8.3223,9.3451,15.2294,18.5669
1368,39.1324,27.6779,9.1982,10.7319,10.4465,27.0592,29.0024,53.4082,10.3135,11.1837,20.2158,8.3721,9.3495,14.7140,18.0225
